Transaction_ID,Product_Name,Category,Unit_Price,Quantity_Sold
TX000001,Full-face Helmet,Riding Gear,210.28,1
TX000001,Sport Exhaust System,Sport Parts,484.85,1
TX000002,Riding Gloves,Riding Gear,57,1
TX000003,Racing Brake Pads,Sport Parts,81.15,1
TX000003,Handlebar Grips,Dirt Parts,24.33,1
TX000004,Suspension Upgrade Kit,Dirt Parts,402.53,1
TX000004,LED Light Kit,Accessories,104.68,1
TX000004,Leather Jacket,Riding Gear,340.94,1
TX000004,Racing Brake Pads,Sport Parts,85.93,1
TX000005,Custom Handlebars,V-Twin Parts,160.75,1
TX000005,Leather Jacket,Riding Gear,366.44,1
TX000005,Touring Seat,V-Twin Parts,313.18,1
TX000006,Performance Chain Kit,Sport Parts,118.66,1
TX000006,High-flow Air Filter,Sport Parts,46.48,1
TX000006,Racing Brake Pads,Sport Parts,83.14,1
TX000007,Racing Brake Pads,Sport Parts,84.11,1
TX000008,Riding Gloves,Riding Gear,60.64,1
TX000009,LED Light Kit,Accessories,108.14,1
TX000010,Full-face Helmet,Riding Gear,217.42,1
TX000010,Chrome Engine Guard,V-Twin Parts,248.37,1
TX000011,Protective Skid Plate,Dirt Parts,171.57,1
TX000011,Off-road Tire Set,Dirt Parts,245.36,1
TX000011,Racing Brake Pads,Sport Parts,88.46,1
TX000012,High-flow Air Filter,Sport Parts,45.88,1
TX000012,Phone Mount,Accessories,30.37,1
TX000013,Custom Handlebars,V-Twin Parts,157.19,1
TX000013,Off-road Tire Set,Dirt Parts,246.41,1
TX000014,Racing Brake Pads,Sport Parts,82.15,1
TX000014,Cruiser Foot Pegs,V-Twin Parts,94.86,1
TX000015,Phone Mount,Accessories,30.06,1
TX000016,Custom Handlebars,V-Twin Parts,163.14,1
TX000017,Racing Brake Pads,Sport Parts,85.02,1
TX000018,Full-face Helmet,Riding Gear,220.68,1
TX000019,Leather Jacket,Riding Gear,340.82,1
TX000020,Full-face Helmet,Riding Gear,227.38,1
TX000020,Handlebar Grips,Dirt Parts,24.22,1
TX000021,Racing Brake Pads,Sport Parts,86.23,1
TX000021,Protective Skid Plate,Dirt Parts,183.44,1
TX000022,Touring Seat,V-Twin Parts,312.74,1
TX000023,Motorcycle Cover,Accessories,73.06,1
TX000023,Handlebar Grips,Dirt Parts,25.99,1
TX000024,Chrome Engine Guard,V-Twin Parts,248.32,1
TX000025,Full-face Helmet,Riding Gear,222.34,1
TX000025,Performance Chain Kit,Sport Parts,115.22,1
TX000025,High-flow Air Filter,Sport Parts,42.77,1
TX000026,Phone Mount,Accessories,28.55,1
TX000027,Riding Gloves,Riding Gear,58.85,1
TX000028,Full-face Helmet,Riding Gear,219.71,2
TX000029,Protective Skid Plate,Dirt Parts,176.05,1
TX000029,Handlebar Grips,Dirt Parts,25.36,1
TX000029,High-flow Air Filter,Sport Parts,46.98,1
TX000030,Phone Mount,Accessories,30.22,1
TX000030,Touring Seat,V-Twin Parts,287.26,2
TX000031,Protective Skid Plate,Dirt Parts,178.1,1
TX000032,Performance Chain Kit,Sport Parts,115.68,2
TX000032,Full-face Helmet,Riding Gear,228.3,1
TX000033,Riding Gloves,Riding Gear,58.78,1
TX000034,Tank Bag,Accessories,96.92,1
TX000034,Protective Skid Plate,Dirt Parts,187.02,1
TX000034,Riding Boots,Riding Gear,138.26,1
TX000035,Touring Seat,V-Twin Parts,310.17,2
TX000035,Sport Exhaust System,Sport Parts,468.01,1
TX000036,Sport Exhaust System,Sport Parts,492.96,1
TX000037,High-flow Air Filter,Sport Parts,43.35,1
TX000037,Off-road Tire Set,Dirt Parts,255.36,1
TX000037,Leather Jacket,Riding Gear,346.46,1
TX000038,Racing Brake Pads,Sport Parts,87.86,1
TX000039,Tank Bag,Accessories,92.53,1
TX000040,Chrome Engine Guard,V-Twin Parts,241.3,1
TX000040,Phone Mount,Accessories,29.76,1
TX000041,Racing Brake Pads,Sport Parts,86.73,1
TX000041,Performance Chain Kit,Sport Parts,115.17,1
TX000041,Sport Exhaust System,Sport Parts,478.73,1
TX000042,Full-face Helmet,Riding Gear,210,1
TX000043,LED Light Kit,Accessories,105.28,1
TX000043,Leather Jacket,Riding Gear,333.43,1
TX000044,Full-face Helmet,Riding Gear,221,1
TX000045,Full-face Helmet,Riding Gear,217.3,1
TX000045,Custom Handlebars,V-Twin Parts,161.89,1
TX000045,Chrome Engine Guard,V-Twin Parts,243.74,1
TX000046,Custom Handlebars,V-Twin Parts,163.09,1
TX000047,Riding Gloves,Riding Gear,61.5,1
TX000047,Motorcycle Cover,Accessories,78.68,1
TX000047,Chrome Engine Guard,V-Twin Parts,236.93,1
TX000048,Handlebar Grips,Dirt Parts,24.35,1
TX000048,Custom Handlebars,V-Twin Parts,160.55,1
TX000048,Leather Jacket,Riding Gear,346.14,1
TX000049,Tank Bag,Accessories,93.28,1
TX000050,Suspension Upgrade Kit,Dirt Parts,406.9,1
TX000050,Chrome Engine Guard,V-Twin Parts,247,1
TX000051,Phone Mount,Accessories,31.41,1
TX000051,Racing Brake Pads,Sport Parts,87.86,1
TX000051,Riding Gloves,Riding Gear,62.03,1
TX000051,Protective Skid Plate,Dirt Parts,175.01,1
TX000052,Performance Chain Kit,Sport Parts,118.45,1
TX000052,Phone Mount,Accessories,31.34,1
TX000053,Riding Gloves,Riding Gear,59.27,1
TX000054,Performance Chain Kit,Sport Parts,114.68,1
TX000054,Protective Skid Plate,Dirt Parts,173.12,1
TX000054,Racing Brake Pads,Sport Parts,87.09,1
TX000055,Handlebar Grips,Dirt Parts,25.76,1
TX000056,Tank Bag,Accessories,91.83,1
TX000056,Custom Handlebars,V-Twin Parts,156.71,1
TX000056,Leather Jacket,Riding Gear,356.89,2
TX000057,Chrome Engine Guard,V-Twin Parts,249.37,1
TX000058,High-flow Air Filter,Sport Parts,44.34,1
TX000059,Custom Handlebars,V-Twin Parts,152.52,1
TX000060,Chrome Engine Guard,V-Twin Parts,250.57,1
TX000060,Sport Exhaust System,Sport Parts,483.9,1
TX000061,LED Light Kit,Accessories,106.15,2
TX000061,Racing Brake Pads,Sport Parts,83.99,1
TX000061,Cruiser Foot Pegs,V-Twin Parts,98.25,1
TX000061,Riding Boots,Riding Gear,139.56,1
TX000062,LED Light Kit,Accessories,115.5,1
TX000063,Riding Gloves,Riding Gear,58.23,1
TX000063,Cruiser Foot Pegs,V-Twin Parts,92.86,1
TX000064,Racing Brake Pads,Sport Parts,87.82,1
TX000064,Chrome Engine Guard,V-Twin Parts,247.59,1
TX000064,Handlebar Grips,Dirt Parts,23.97,1
TX000065,Off-road Tire Set,Dirt Parts,257.63,1
TX000065,Riding Boots,Riding Gear,141.64,1
TX000066,Off-road Tire Set,Dirt Parts,250.35,1
TX000066,Tank Bag,Accessories,94.02,1
TX000067,Riding Boots,Riding Gear,143.76,1
TX000067,Suspension Upgrade Kit,Dirt Parts,381.83,1
TX000068,Full-face Helmet,Riding Gear,210.67,1
TX000069,Off-road Tire Set,Dirt Parts,254.91,1
TX000069,Leather Jacket,Riding Gear,363.1,1
TX000070,High-flow Air Filter,Sport Parts,43.55,1
TX000071,Cruiser Foot Pegs,V-Twin Parts,93.39,1
TX000071,Tank Bag,Accessories,91.13,1
TX000072,Sport Exhaust System,Sport Parts,497.68,1
TX000072,Cruiser Foot Pegs,V-Twin Parts,95.92,1
TX000073,Protective Skid Plate,Dirt Parts,177.64,1
TX000074,Sport Exhaust System,Sport Parts,488.98,1
TX000075,Performance Chain Kit,Sport Parts,116.91,1
TX000075,Suspension Upgrade Kit,Dirt Parts,395.09,1
TX000076,Performance Chain Kit,Sport Parts,119.69,1
TX000076,Handlebar Grips,Dirt Parts,25.37,1
TX000076,Custom Handlebars,V-Twin Parts,161.35,1
TX000077,Off-road Tire Set,Dirt Parts,246.58,1
TX000077,Sport Exhaust System,Sport Parts,483.4,1
TX000078,Tank Bag,Accessories,92.39,1
TX000079,High-flow Air Filter,Sport Parts,43.53,1
TX000080,Racing Brake Pads,Sport Parts,89.23,1
TX000081,LED Light Kit,Accessories,114.72,1
TX000081,Motorcycle Cover,Accessories,75.54,1
TX000081,Custom Handlebars,V-Twin Parts,164.31,1
TX000081,High-flow Air Filter,Sport Parts,44.21,1
TX000082,Handlebar Grips,Dirt Parts,23.97,1
TX000082,Riding Gloves,Riding Gear,62.59,1
TX000083,Sport Exhaust System,Sport Parts,503.52,1
TX000084,Leather Jacket,Riding Gear,353.35,1
TX000085,Performance Chain Kit,Sport Parts,125.2,1
TX000085,LED Light Kit,Accessories,106.76,2
TX000085,Riding Gloves,Riding Gear,62.56,1
TX000086,Riding Boots,Riding Gear,135.29,1
TX000087,Full-face Helmet,Riding Gear,215.96,1
TX000088,Riding Gloves,Riding Gear,60.24,1
TX000088,Tank Bag,Accessories,95.74,1
